Tweet,Target 1,Stance 1,Opinion Towards,Sentiment,Tweet Id
"@jimdonovancbs3 @SEPTA No need to be patient. Do not wear a mask in public (as ordered by the governor of the AP) is the equivalent of swinging around a gun with security off; someone will get hurt. That said, I see Philadelphia P/O watching people walk around masks and they say nothing!",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"@Polititope @JoeGruters No mask? Unsatisfactory, self-centered, no concern for someone else's health. Don't be like Joe",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"Friends, I just want to go to restaurants and watch some music events again... but I can't... because I have a fucking brain, and I know you're here without masks, coughing on everyone. #Stay home",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
Close to the employees of the service station who even if the front door said mandatory mask did not wear it but compliment my mask #AgentCarter!,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"He just saw me that since we're going to wear face masks in winter, my nose will be really hot.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29e+18
I put a mask on the air intake of my car to be safe and my car broke. Who knew that limiting the air intake is bad for your car. It is ok for the human body although is it not uncle @DanielAndrewsMP? #resignDanielAndrews #endthelockdown,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
@OurRevolution A wearing mask!!!!!!!,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29e+18
@RousseauRick She probably had too much non-mask to wear ass holes to face..lol. I feel bad employees are left to enforce masks. These stores need security to face the Covididiots:angry::angry::angry::angry::angry::angry::,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
@realDonaldTrump And so many people without masks!,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"@NeilClark66 @freddie801 Neil, stop being a snowflake and wear a mask. It will not be forever, and it will help the most vulnerable to be protected from the covide19. I wear one every day to work, it's not much.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29e+18
"@BethanAnghardL @ks_1968 The latest evidence indicates their effectiveness, but you are right, the precautionary principle requires that they be used.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28e+18
"@wheredoustand1 @Ms_Deville @lightfal @itsJeffTiedrich @realDonaldTrump Welp considering the states that are forbidden to travel at this time and more people died then in wars, maybe it's not a hoax? Ps Trump had taken Covid seriously, the economy probably wouln çt crashed as it did #consequences",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28e+18
More good news: 75% of healthy patients aged 45 to 53 who have been in Covid have permanent structural damage to their heart = to a heart attack.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
@AsburyParkPress Murphy has to close the restaurants. None of the employees are hiding.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
Refusing to wear a mask radiates a small energy of dick.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28e+18
Being the only one in Ace Hardware wearing a mask feels very similar to when they assign group projects to school. Except then I could at least do all the work myself.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29e+18
@APCentralRegion @AP That #COVIDIOT. #MaskUpMichigan #maskup,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
Masks set the precedent for vaccines. #COVID19,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29e+18
"From today onwards, people in Marion and Polk counties will have to wear a mask when they are in public, indoor spaces. This mandate comes in an attempt to prevent the spread of #COVID19. #Coronavirus #oregon #salemoregon #OR #SalemOR #clypiancoverage",face masks,FAVOR,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",other,1.28e+18
Tomorrow #NH will host a #NASCAR race that should shoot 12K. We are the only state in the Northeast with a mask warrant. It is a potential event #COVID19 supercaster. You may be. on the pandemic - but it is not on you.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"On the bus. Of the 6 people on the lower deck, only 2 have their masks well on their 3 well covered mouths, but their nose gets broken and we have it around their neck.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
RT if you have at least one mask hanging in the rear mirror of the ya car : mask: #MasksOnOhio,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29e+18
"@SpeakerVos Masks in public places are a necessary prevention tool. You don't need to have symptoms to get infected. Many people get Covid and never experience symptoms- They are known as silent carriers, which are indeed, Spread the virus.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29e+18
"@JoeBiden What happens when we win the election and President Biden issues a national mask mandate? ""Karens"" will come out of the woods and it will be nice. How can we make it happen now? #YesCan Again #Biden2020Landslide",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29e+18
@mrswhite321 @Rachael1418 @GovMikeDeWine It's. Mask or fan. Make your choice.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
The realization of how many people think we are invincible at #COVID19 has never been more obvious before we saw people enter the funeral home without a mask challenging our order of state. You are literally standing with the dead all around you and you still don't have it.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
People in India must start taking this situation as a joke. People are no longer wearing masks and are wandering without it. It is very disappointing.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"We also added an event in Philadelphia and a real stupid anti-mask rally in MN. I'm still working on a tik tok joke, but I'm only on my first cup of coffee. Keep an eye on this thread. #BlackLivesMatter",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
T1 Bus to Aberaeron will not leave you on the bus unless you wear a mask - free included! It moved the people I know are exempt... #MaskUp,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29e+18
@TheAltarOfAndy @JudgeJeanine That.s OK don similar a mask will be that person but when you get sick don.t come cry as they intibate you,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"@BelTel Oh fuck. Jaysus what is more offensive a mask or how sick and disabled people are treated by tories by pip evaluations? But Boris cares so much about people, I'm right.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"@realDonaldTrump 25% OF WORLD DEATHS Despite being 4% of the world's population!!!! @WhiteHouse @PressSec @kayleighmcenany SPIN that, Kayleigh!! And Dr. Birx!! #GOPDeatCult #BloodOntTrumpsHands",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29e+18
"I have an idea, everyone has their temperature at the entrance to the bar, everyone doesn't wear a mask, it's taken to the right.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28e+18
"Hey Team KC, you better put these Team Kelly masks for sale!!! :raising_hands_light_skin_tone::thumbs_up_light_skin_tone:",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29e+18
@Walmart start protecting your employees and customers and start regulating and ordering masks. I probably already have it as well as 8 other partners in my neighborhood market. Please at least pretend you care. They really help.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28e+18
"It may not be a representative sample, but it was still really rewarding to see almost everyone at @MortonArboretum wearing masks yesterday on the roads.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29e+18
"I don't tolerate violence, but why all the stories about people taking shots at masks of people who actually conform? You think that non-mask carriers would be the ones running away.:thinking_face: #MaskItOrCasket",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29e+18
@wiscontext @WashCoWisco @PBSWI @WashCoExec More than 148 000 Americans:flag_for_United_States: are dead. We show them no respect or learning from the senseless deaths that could be avoided by wearing a mask.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
@steeletalk @richardzussman @masks4canada @CKNW Thank God! It must be shown the light because it clearly refuses to believe in the use of the mask.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"Make the habit of being uncomfortable, so ADAPT YOU TO NEW NORMAL!",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28e+18
"I can't tonight, I'm washing my masks.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29e+18
@StopandShop Hey there....No Mask No Service. is not implemented in your Hempstead trpk and Wantaugh has a location. Must look at people with a chinstraps every turn I do. I care about my senior mother that I take the food shopping! It's pitiable! #StopAndShop,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
The only constitutional right your mask violates is to make you sick and die.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"@noix2406 @JayaTigerLily @VJ79654309 @Srivas_Kamath @JayaTigerLily is just ad nauseaum repeating her diatribe. Where she offers neither science, nor logic, nor evidence that is aware of the understanding and opinions issued by the health authorities. She sabotages efforts to raise awareness here about Masks!",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
@mikemcmannmd @AllieGatorFL @Tips89_ @GovRonDeSantis @BrowardHealth You understand that he has literally changed scientific data to help @realDonaldTrump right!? And he will not issue a mask warrant,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"Nothing like getting b*tched by a Karen to ruin your afternoon. And of course, she was at one foot from me and she was not wearing a mask. :face_with_rolling_yeys: Perfect.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"@SenJeffMerkley @realDonaldTrump Dear Senator, thank you for everything you do to represent Oregon. Haircuts are quite inexpensive and easy to use. Or the next time you're in the valley, I even cut your hair, mask and everything. And as an educator I practiced social distance all summer. :scisors_selector: :man_getting_haircut_selector:",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1.29e+18
"He just learned that my colleague was positive for covid-19. He was anti-mask and went to parties without any worries for the people around him. Now because of him, I am scared for my life. Please for God's sake, #Wearamask",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
@DeanObeidallah @TheDeansReport @CNNOpinion Imagine being such a selfish asshole that you place your desire not to wear a mask as more important than a human life.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"@PollyAndry @AnaCabrera What, are they children??? Growing up ppl &amp; wearing this fucked-up mask! It's not about politics, not about Freedom and not about YOU. It's about 150K FELLOW AMERICANS who have BELIESSLY DEAD bc of ignorant &amp; selfish choices made by others.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
I got a positive test for Covid. I took a friend. I assumed she was responsible for my safety when she asked to meet for lunch. I found out that she was infected with an online appointment. She didn't know him. She didn't wear a mask. Or distance. I then exposed my parents.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"@RightWingWatch I wonder what he would take on no shirt, no shoes, no service ¶ #Masks",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"Anyone who says money has nothing to fear, he's already sick.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"@RileyKays @GiroSammy @HeatherBadenoch @nytimes @FuzzyWuzzyTO It's wrong but it makes you feel better it's simple: stay home as much as possible, wear a fabric mask when you need to get out and get surgical masks if you need to be out for long periods of time.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29e+18
"I went to a sandwich and a sandwich, with a facial cover.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29e+18
He doesn't feel safe riding with @MBTA because they don't enforce their mask policy on all their trains,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
Please wear a mask. #Weaaramask,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29e+18
@realDonaldTrump They just closed the city hall indefinitely because an employee has been tested positive. Adults cannot understand masks and social distance. But it is certain that we can get children into buses and classrooms. #TrumpVirus2020,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"I went to the @PilotFlyingJ in Flatwoods, WV &amp; only 1 of 5 customers had a mask on. It's hard to get applied when the manager hangs his mask under his chin. I'm not sure if I'm going to be able to get a sign on the door.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"People in India are no longer serious about this situation. There are cases that increase every day and people become negligent. I am disappointed. So, if not for your wearing a mask for others.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"@Starbucks I went to Starbucks at 2961 Michelson Dr, Irvine, CA 92612 at 13:30 today. Cashier and the girl at the pick up counter command did not wear a face mask. This seems not to implement the order of California. #Starbucks",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28e+18
"@HomelessnessSD @victv It's ridiculous. I'm all for religion, just to be safe from my couch. Like a woman from San Diego who got covid from a restaurant in Carlsbad. (negative now). Wear a fucking mask of people, I almost died of this shit!",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"@realDonaldTrump If YOU SUPIDEZ:face_with_symbols_on_mouth::face_with_symbols_on_mouth::face_with_symbols_on_mouth:#MAGA MORONS had been wearing masks since March like all of us, the #COVID19 virus would no longer spread EXPONENTIALLY (look at it) and our schools could reintegrate and the economy would be - like the RESTAURANT of the World!:triumph:::triumph::triumph::triumph:",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"@hillarywillbern @Adrieliam @SMSCats2 @BillyCorben @TedToddAgency @CharleyTodd Yes... exactly... ""made cakes and bakeries"" if it's your happiness. Really! But please do it without shouting. Follow the law, follow the local rules, respect the policies of the stores, and poulezzz wear a mask. :grin:",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
There are many reasons why someone cannot wear a mask. The only one that should concern someone is that it's not your business. Protect yourself. #COVID__19 #MaskUp,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.28e+18
"I work 10 hours in a 96-degree house walking 20,000+ step per day and lifting heavy boxes and wearing a mask.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28e+18
"In March, our amazing garden neighbor died of COVID-19. Today, I look at people (with lucky masks) going through all their business as part of a sale of goods. It's all so sad. If we had closed earlier, it would probably still be here.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
Spend the afternoon watching a 3 to 3 football tournament at @etownsportspark. Nice day... but shame there is no signage or application of masking. Come on... we can do better! @KYHealthAlerts,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29e+18
"My mask doesn't stop... let's say ""Herefordshire perfumes"" but it keeps my mouth dry from the rain. In other words, oxygen can go through the masks, but droplets containing the virus can't.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29e+18
13 hours with a face mask today. Non-stop! If I hear anyone complaining...,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29e+18
Twitter people are very sensitive today! #MaskUp,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28e+18
"Don't be ignorant, wear a mask.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28e+18
"The cases of Covid-19 rise so strongly while the consciousness of the people of Covid-19 has rapidly dropped to the low level. Every time I went out, I saw most people wearing no mask. It also indicates how stupid people rise quickly to the high level",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"I know that everyone is crazy about American tourists coming to Ireland but I was shopping in the dunes earlier; half of the shop was not in mask:woman_facepalming_light_skin_tone: can we at least try to do good ourselves, please",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28e+18
@jeffmason1 @realDonaldTrump at least 22 people in this photo and maybe 3 are wearing masks... They are leading our government:face_with_rolling_yeys:,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
"I wonder if people who care about CO2 accumulate in their #masks and effect their breathing, are the same people who don't believe in science behind the #ClimatChange?",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28e+18
"@MBellmoore @edmontonleon @kindermeg You're a dumb Mitchell. But I've been scrolling your TL, so it's not really a surprise to me. Don't like mandatory masks, don't hesitate to stay home, away from people are able to think critical",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18
